state,year,sex,deaths,population,crude_rate,days_in_year,average_daily_crude_rate
Alabama,1999,Female,1055,176811,596.7,365,1.6347461181171500
Alabama,1999,Male,1578,139117,1134.3,365,3.107663097416470
Alabama,2000,Female,1067,176733,603.7,366,1.6495507610056300
Alabama,2000,Male,1532,140015,1094.2,366,2.989531371443610
Alabama,2001,Female,1044,176613,591.1,365,1.619514969228050
Alabama,2001,Male,1484,141649,1047.7,365,2.8703015373617400
Alabama,2002,Female,939,176149,533.1,365,1.4604696817614800
Alabama,2002,Male,1382,142310,971.1,365,2.6606010609676200
Alabama,2003,Female,897,176800,507.4,365,1.3900080580177300
Alabama,2003,Male,1329,144167,921.8,365,2.525609806967590
Alabama,2004,Female,843,177876,473.9,366,1.2948788417350200
Alabama,2004,Male,1325,145835,908.6,366,2.482407226821390
Alabama,2005,Female,903,179922,501.9,365,1.3750250679404000
Alabama,2005,Male,1211,149105,812.2,365,2.2251488676959700
Alabama,2006,Female,821,182941,448.8,365,1.2295303231605500
Alabama,2006,Male,1279,153107,835.4,365,2.2886671341226000
Alabama,2007,Female,804,186312,431.5,365,1.1822854813578300
Alabama,2007,Male,1217,156299,778.6,365,2.1332488213887900
Alabama,2008,Female,809,192543,420.2,366,1.1479942213745500
Alabama,2008,Male,1215,161691,751.4,366,2.0530964191869300
Alabama,2009,Female,817,197699,413.3,365,1.1322040902501100
Alabama,2009,Male,1274,167056,762.6,365,2.0893658167944300
Alabama,2010,Female,819,200465,408.6,365,1.1193153999143800
Alabama,2010,Male,1334,170036,784.5,365,2.149423957601890
Alabama,2011,Female,770,205469,374.8,365,1.0267188924343300
Alabama,2011,Male,1243,174711,711.5,365,1.9492072348362700
Alabama,2012,Female,845,217054,389.3,366,1.0636722517893700
Alabama,2012,Male,1352,185517,728.8,366,1.9911862907648600
Alabama,2013,Female,916,225166,406.8,365,1.1145506164766800
Alabama,2013,Male,1494,193538,771.9,365,2.114908020611720
Alabama,2014,Female,918,234270,391.9,365,1.0735768528410300
Alabama,2014,Male,1460,201158,725.8,365,1.988486662225710
Alabama,2015,Female,944,242241,389.7,365,1.0676563297967800
Alabama,2015,Male,1443,208032,693.6,365,1.9003925634201700
Alabama,2016,Female,972,250233,388.4,366,1.0613059448266300
Alabama,2016,Male,1584,214436,738.7,366,2.018256660476330
Alabama,2017,Female,996,257320,387.1,365,1.0604566777894000
Alabama,2017,Male,1631,220012,741.3,365,2.0310224672676600
Alabama,2018,Female,1076,263223,408.8,365,1.119942104405560
Alabama,2018,Male,1696,224498,755.5,365,2.0697624666882300
Alabama,2019,Female,1110,270914,409.7,365,1.1225318331319000
Alabama,2019,Male,1819,230533,789.0,365,2.161756296857980
Alabama,2020,Female,1199,280345,427.7,366,1.168544573348200
Alabama,2020,Male,1956,237372,824.0,366,2.251429104983730
Alabama,2021,Female,1226,288572,424.9,365,1.1639743667400300
Alabama,2021,Male,2135,248826,858.0,365,2.3507652208744900
Alabama,2022,Female,1230,288338,426.6,365,1.1687197017731400
Alabama,2022,Male,1934,247600,781.1,365,2.1399960165534300
Alabama,2023,Female,1179,293804,401.3,365,1.099418995759540
Alabama,2023,Male,1985,252006,787.7,365,2.158026461426940
Alabama,2024,Female,1259,298614,421.6,366,1.1519522562179000
Alabama,2024,Male,1958,256182,764.3,366,2.088252404913810
Alabama,2025,Female,1282,298614,429.3,365,1.176210347513270
Alabama,2025,Male,2012,256182,785.4,365,2.1517236836012200
Alaska,1999,Female,49,10932,448.2,365,1.228014776275760
Alaska,1999,Male,101,10799,935.3,365,2.562388450478040
Alaska,2000,Female,45,11274,399.1,366,1.090569626327220
Alaska,2000,Male,79,11233,703.3,366,1.92154361733748
Alaska,2001,Female,48,11617,413.2,365,1.1320207395633000
Alaska,2001,Male,82,11721,699.6,365,1.9167096173242500
Alaska,2002,Female,30,11953,251.0,365,0.6876247036051020
Alaska,2002,Male,72,12162,592.0,365,1.621939434078300
Alaska,2003,Female,44,12418,354.3,365,0.9707516927482640
Alaska,2003,Male,80,12613,634.3,365,1.7377157075381000
Alaska,2004,Female,39,12817,304.3,366,0.831375337826171
