state,year,sex,race,deaths,population,crude_rate,days_in_year,average_daily_crude_rate
Alabama,1999,Female,American Indian/Alaska Native,0,398,0.0,365,0.0
Alabama,1999,Female,Asian/Pacific Islander,0,581,0.0,365,0.0
Alabama,1999,Female,Black,304,35584,854.31654676259,365,2.340593278801620
Alabama,1999,Female,White,751,140248,535.4800068450170,365,1.4670685119041600
Alabama,1999,Male,American Indian/Alaska Native,,321,,365,
Alabama,1999,Male,Asian/Pacific Islander,0,323,0.0,365,0.0
Alabama,1999,Male,Black,301,23624,1274.1280054182200,365,3.4907616586800500
Alabama,1999,Male,White,1275,114849,1110.153331766060,365,3.041515977441260
Alabama,2000,Female,American Indian/Alaska Native,,456,,366,
Alabama,2000,Female,Asian/Pacific Islander,,747,,366,
Alabama,2000,Female,Black,305,35537,858.260404648676,366,2.3449737831931000
Alabama,2000,Female,White,760,139993,542.8842870714960,366,1.4832904018346900
Alabama,2000,Male,American Indian/Alaska Native,,408,,366,
Alabama,2000,Male,Asian/Pacific Islander,0,412,0.0,366,0.0
Alabama,2000,Male,Black,324,23525,1377.2582359192300,366,3.763000644588070
Alabama,2000,Male,White,1205,115670,1041.756721708310,366,2.846329840733080
Alabama,2001,Female,American Indian/Alaska Native,,460,,365,
Alabama,2001,Female,Asian/Pacific Islander,0,819,0.0,365,0.0
Alabama,2001,Female,Black,295,35551,829.7938173328460,365,2.273407718720130
Alabama,2001,Female,White,747,139783,534.3997481811090,365,1.464108899126330
Alabama,2001,Male,American Indian/Alaska Native,0,400,0.0,365,0.0
Alabama,2001,Male,Asian/Pacific Islander,,482,,365,
Alabama,2001,Male,Black,317,23855,1328.8618738210000,365,3.6407174625232900
Alabama,2001,Male,White,1166,116912,997.331326125633,365,2.732414592125020
Alabama,2002,Female,American Indian/Alaska Native,0,470,0.0,365,0.0
Alabama,2002,Female,Asian/Pacific Islander,,872,,365,
Alabama,2002,Female,Black,269,35403,759.8226139027770,365,2.0817057915144600
Alabama,2002,Female,White,669,139404,479.9001463372640,365,1.3147949214719600
Alabama,2002,Male,American Indian/Alaska Native,,439,,365,
Alabama,2002,Male,Asian/Pacific Islander,,532,,365,
Alabama,2002,Male,Black,300,24042,1247.8163214374800,365,3.4186748532533800
Alabama,2002,Male,White,1080,117297,920.7396608608920,365,2.5225744133175100
Alabama,2003,Female,American Indian/Alaska Native,,489,,365,
Alabama,2003,Female,Asian/Pacific Islander,,927,,365,
Alabama,2003,Female,Black,249,35329,704.803419287271,365,1.9309682720199200
Alabama,2003,Female,White,644,140055,459.8193566813040,365,1.2597790594008300
Alabama,2003,Male,American Indian/Alaska Native,,502,,365,
Alabama,2003,Male,Asian/Pacific Islander,0,588,0.0,365,0.0
Alabama,2003,Male,Black,337,24399,1381.2041477109700,365,3.784120952632800
Alabama,2003,Male,White,991,118678,835.0326092451850,365,2.287760573274480
Alabama,2004,Female,American Indian/Alaska Native,,520,,366,
Alabama,2004,Female,Asian/Pacific Islander,,954,,366,
Alabama,2004,Female,Black,227,35241,644.1360914843510,366,1.7599346761867500
Alabama,2004,Female,White,611,141161,432.8390986178900,366,1.1826204880270200
Alabama,2004,Male,American Indian/Alaska Native,,530,,366,
Alabama,2004,Male,Asian/Pacific Islander,,637,,366,
Alabama,2004,Male,Black,264,24646,1071.167735129430,366,2.9266878009000900
Alabama,2004,Male,White,1057,120022,880.6718768225830,366,2.406207313722900
Alabama,2005,Female,American Indian/Alaska Native,,551,,365,
Alabama,2005,Female,Asian/Pacific Islander,,1049,,365,
