state,first_slope,break_year,second_slope,mean_last_5_years
Alabama,-0.08729963494028725,2008,0.005845048552428941,1.6115293764654122
Alaska,-0.06469402855419806,2010,0.0004523389198204386,0.9635830012326035
Arizona,-0.06797735062603402,2010,0.007237507975831767,0.9680471770203969
Arkansas,-0.08744543094610287,2007,0.008331170145240818,1.5910565333720714
California,-0.07098824816140181,2010,-0.0025306977828973565,0.9034570476425163
Colorado,-0.05808390537618035,2010,0.0025609560481179017,0.7763270111922246
Connecticut,-0.08680175342718209,2008,-0.005471853655708223,0.7923222003788395
Delaware,-0.09192699157785261,2009,-0.00255909087819442,0.96726736334252
District of Columbia,-0.07284999944236986,2011,-0.00950174861542484,1.61839774226275
Florida,-0.07125490615919135,2009,0.0015241952667835734,0.9381926531202692
Georgia,-0.09041205887098908,2010,0.00821706359165543,1.3091693978958905
Hawaii,-0.05323358965896636,2010,0.003001221576233684,0.9644061965243333
Idaho,-0.07264606289103412,2008,-0.005808010243454509,0.8652242043422429
Illinois,-0.08288678074537137,2009,-0.0019006732258293607,1.1260041676485426
Indiana,-0.08890606837790983,2009,0.001861088206323358,1.2591920164566854
Iowa,-0.08179362328072878,2007,0.003245145628085963,1.1563994725532827
Kansas,-0.07250461816361527,2009,0.007772440640160097,1.0987869926237537
Kentucky,-0.0925148774605477,2009,0.005504709021178347,1.5126698431132433
Louisiana,-0.08368751579550564,2008,0.0025873035571969266,1.5941165014566876
Maine,-0.07379318440585617,2010,0.0032764751414049165,0.9068614202731398
Maryland,-0.07378894636127614,2010,-0.003532546846428772,1.0699141613467869
Massachusetts,-0.06912988937667083,2010,-0.007283431590331416,0.7370374683150802
Michigan,-0.09088337079192332,2008,-0.00287746644957336,1.2530210454143313
Minnesota,-0.07687007002289978,2007,-0.004988962901297772,0.6232237954396569
Mississippi,-0.08986249841956317,2011,0.01491804307922348,1.7606522257504345
Missouri,-0.08569038882866414,2009,0.007061068194175318,1.350204913128318
Montana,-0.09111795361145253,2006,0.0018570193185762363,1.0708355839512191
Nebraska,-0.07602082865942436,2008,-0.0007148416470879604,0.8721611589157119
Nevada,-0.06454247409817507,2008,-0.0030939039862732595,1.3979519131934712
New Hampshire,-0.0782959724313331,2009,-0.002617252247924029,0.8499587315889352
New Jersey,-0.09263016021128534,2008,-0.010135434987326997,0.8765599697016825
New Mexico,-0.05921440761768465,2010,0.018655243483577083,1.0924196433266877
New York,-0.08376130124113082,2010,-0.011471591529002081,0.9914737581370912
North Carolina,-0.09022073018058008,2009,-0.002750504894157374,1.0983282524368785
North Dakota,-0.06997002662196228,2008,-0.0011154137948291704,0.963630178829274
Ohio,-0.0905368534454309,2009,0.004895991765367813,1.2706018603658704
Oklahoma,-0.07843710388152295,2010,0.037289661969556326,1.9420550767774678
Oregon,-0.05720637482495593,2012,0.007670025858739701,0.8208371359245014
Pennsylvania,-0.08315784782899964,2009,-0.006051463053561662,1.077441372501657
Rhode Island,-0.06954787177187931,2011,-0.004780020970127946,0.9063985953860936
South Carolina,-0.08945682420784543,2009,-0.001663889411027089,1.2070313096462493
South Dakota,-0.08046268591737743,2007,-0.004323609091803474,0.9617512325045233
Tennessee,-0.08266910299206842,2009,0.008321665345543489,1.5093230375044289
Texas,-0.08502370329028588,2009,0.003741954988721166,1.2121128082612176
Utah,-0.04950779880712641,2009,0.002053472250669937,0.795350967194451
Vermont,-0.08702605194875586,2007,-0.0028247427936460984,0.8999618137780547
Virginia,-0.07854387274124597,2010,0.003164487130132787,1.0542266068944028
Washington,-0.0650999431092327,2010,0.0006958952052858458,0.8721049677220997
West Virginia,-0.07916222308483657,2012,0.023013817199128456,1.4738809712632628
Wisconsin,-0.0910314490421823,2007,-0.005651999862308951,0.9599181040828249
Wyoming,-0.033387117056721774,2013,0.0004816890459728093,1.04814932254497
