state,year,age_group,deaths,population,crude_rate,days_in_year,average_daily_crude_rate,source_file
Alabama,1999,65-74 years,2633,315928,833.4,365,2.2833362760302935,1999_2020.csv
Alabama,2000,65-74 years,2599,316748,820.5,366,2.2418745804787603,1999_2020.csv
Alabama,2001,65-74 years,2528,318262,794.3,365,2.1762030645381083,1999_2020.csv
Alabama,2002,65-74 years,2321,318459,728.8,365,1.996773245406486,1999_2020.csv
Alabama,2003,65-74 years,2226,320967,693.5,365,1.9000801132160943,1999_2020.csv
Alabama,2004,65-74 years,2168,323711,669.7,366,1.82987209818621,1999_2020.csv
Alabama,2005,65-74 years,2114,329027,642.5,365,1.7602752424323254,1999_2020.csv
Alabama,2006,65-74 years,2100,336048,624.9,365,1.712084183668478,1999_2020.csv
Alabama,2007,65-74 years,2021,342611,589.9,365,1.6161145734870925,1999_2020.csv
Alabama,2008,65-74 years,2024,354234,571.4,366,1.5611303953908273,1999_2020.csv
Alabama,2009,65-74 years,2091,364755,573.3,365,1.570579463828507,1999_2020.csv
Alabama,2010,65-74 years,2153,370501,581.1,365,1.5920686143860072,1999_2020.csv
Alabama,2011,65-74 years,2013,380180,529.5,365,1.4506466655664907,1999_2020.csv
Alabama,2012,65-74 years,2197,402571,545.7,366,1.4910990211508426,1999_2020.csv
Alabama,2013,65-74 years,2410,418704,575.6,365,1.5769468947102003,1999_2020.csv
Alabama,2014,65-74 years,2378,435428,546.1,365,1.4962447277507844,1999_2020.csv
Alabama,2015,65-74 years,2387,450273,530.1,365,1.4523913331239626,1999_2020.csv
Alabama,2016,65-74 years,2556,464669,550.1,366,1.50292069352099,1999_2020.csv
Alabama,2017,65-74 years,2627,477332,550.4,365,1.5078101350784365,1999_2020.csv
Alabama,2018,65-74 years,2772,487721,568.4,365,1.5571444633192348,1999_2020.csv
Alabama,2019,65-74 years,2929,501447,584.1,365,1.6003002379606568,1999_2020.csv
Alabama,2020,65-74 years,3155,517717,609.4,366,1.6650445280404107,1999_2020.csv
Alabama,2021,65-74 years,3363,541944,620.5,365,1.7001200548648914,2021_2025.csv
Alabama,2022,65-74 years,3167,540882,585.5,365,1.6041784213131745,2021_2025.csv
Alabama,2023,65-74 years,3167,550923,574.9,365,1.5749410223873617,2021_2025.csv
Alabama,2024,65-74 years,3218,560133,574.5,366,1.569689649918137,2021_2025.csv
Alabama,2025,65-74 years,3289,560133,587.2,365,1.608717733843496,2021_2025.csv
Alaska,1999,65-74 years,150,21731,690.3,365,1.891118237124794,1999_2020.csv
Alaska,2000,65-74 years,124,22507,550.9,366,1.50529974766806,1999_2020.csv
Alaska,2001,65-74 years,130,23338,557.0,365,1.5261135639799632,1999_2020.csv
Alaska,2002,65-74 years,102,24115,423.0,365,1.1588308305806367,1999_2020.csv
Alaska,2003,65-74 years,124,25031,495.4,365,1.357221155356399,1999_2020.csv
Alaska,2004,65-74 years,126,25949,485.6,366,1.326688100049972,1999_2020.csv
Alaska,2005,65-74 years,114,26825,425.0,365,1.1643197283253968,1999_2020.csv
Alaska,2006,65-74 years,129,27990,460.9,365,1.2626818775785873,1999_2020.csv
Alaska,2007,65-74 years,119,29703,400.6,365,1.0976244731517826,1999_2020.csv
Alaska,2008,65-74 years,134,31798,421.4,366,1.1513938567810398,1999_2020.csv
Alaska,2009,65-74 years,131,33759,388.0,365,1.0631360810125925,1999_2020.csv
Alaska,2010,65-74 years,112,35350,316.8,365,0.8680320086803202,1999_2020.csv
Alaska,2011,65-74 years,144,37702,381.9,365,1.0464180890807,1999_2020.csv
Alaska,2012,65-74 years,137,41000,334.1,366,0.9129681460749033,1999_2020.csv
Alaska,2013,65-74 years,132,43810,301.3,365,0.8254823912723999,1999_2020.csv
Alaska,2014,65-74 years,144,46606,309.0,365,0.8465016262824647,1999_2020.csv
Alaska,2015,65-74 years,172,49155,349.9,365,0.9586672296049817,1999_2020.csv
Alaska,2016,65-74 years,196,52387,374.1,366,1.0222366726154581,1999_2020.csv
Alaska,2017,65-74 years,199,55904,356.0,365,0.9752530757227655,1999_2020.csv
Alaska,2018,65-74 years,183,58555,312.5,365,0.8562374912709395,1999_2020.csv
Alaska,2019,65-74 years,191,61300,311.6,365,0.8536503609019195,1999_2020.csv
Alaska,2020,65-74 years,197,64158,307.1,366,0.83894661011911,1999_2020.csv
Alaska,2021,65-74 years,252,66426,379.4,365,1.039368558853626,2021_2025.csv
Alaska,2022,65-74 years,256,67276,380.5,365,1.0425261059125077,2021_2025.csv
Alaska,2023,65-74 years,238,69294,343.5,365,0.9409974810525412,2021_2025.csv
Alaska,2024,65-74 years,214,70578,303.2,366,0.8284443502960023,2021_2025.csv
Alaska,2025,65-74 years,249,70578,352.8,365,0.9665785100483405,2021_2025.csv
Arizona,1999,65-74 years,2170,362714,598.3,365,1.6390890562404692,1999_2020.csv
Arizona,2000,65-74 years,2027,363841,557.1,366,1.5221625287200227,1999_2020.csv
Arizona,2001,65-74 years,1994,368912,540.5,365,1.4808446726130182,1999_2020.csv
Arizona,2002,65-74 years,1915,375319,510.2,365,1.3978976130880008,1999_2020.csv
Arizona,2003,65-74 years,1872,383311,488.4,365,1.3380172035990805,1999_2020.csv
Arizona,2004,65-74 years,1793,394895,454.0,366,1.240559415496559,1999_2020.csv
Arizona,2005,65-74 years,1791,408816,438.1,365,1.2002586285929349,1999_2020.csv
Arizona,2006,65-74 years,1707,423965,402.6,365,1.1030892476424052,1999_2020.csv
Arizona,2007,65-74 years,1596,439585,363.1,365,0.9947115437801626,1999_2020.csv
Arizona,2008,65-74 years,1680,461986,363.6,366,0.9935720853935465,1999_2020.csv
Arizona,2009,65-74 years,1674,483182,346.5,365,0.9491871323565475,1999_2020.csv
Arizona,2010,65-74 years,1641,497892,329.6,365,0.9029850672352447,1999_2020.csv
Arizona,2011,65-74 years,1727,521580,331.1,365,0.9071488265108072,1999_2020.csv
Arizona,2012,65-74 years,1862,558589,333.3,366,0.910764747245125,1999_2020.csv
Arizona,2013,65-74 years,1910,590110,323.7,365,0.8867629276454843,1999_2020.csv
Arizona,2014,65-74 years,1903,622486,305.7,365,0.8375607853248085,1999_2020.csv
Arizona,2015,65-74 years,2017,653014,308.9,365,0.8462341385116205,1999_2020.csv
Arizona,2016,65-74 years,2211,682820,323.8,366,0.8847109936084733,1999_2020.csv
Arizona,2017,65-74 years,2293,701409,326.9,365,0.8956531468546763,1999_2020.csv
Arizona,2018,65-74 years,2325,726162,320.2,365,0.8771958617634399,1999_2020.csv
Arizona,2019,65-74 years,2331,751699,310.1,365,0.8495822622968786,1999_2020.csv
Arizona,2020,65-74 years,2806,786905,356.6,366,0.9742810970405152,1999_2020.csv
Arizona,2021,65-74 years,2813,783000,359.3,365,0.9842719431760527,2021_2025.csv
Arizona,2022,65-74 years,2859,780707,366.2,365,1.0033055566721916,2021_2025.csv
Arizona,2023,65-74 years,2865,804936,355.9,365,0.9751477221161869,2021_2025.csv
Arizona,2024,65-74 years,2837,822752,344.8,366,0.9421266821859537,2021_2025.csv
Arizona,2025,65-74 years,2809,822752,341.4,365,0.9353839809515995,2021_2025.csv
Arkansas,1999,65-74 years,1561,197936,788.6,365,2.1606541148488017,1999_2020.csv
Arkansas,2000,65-74 years,1464,198334,738.1,366,2.016799943529602,1999_2020.csv
Arkansas,2001,65-74 years,1500,198248,756.6,365,2.0729535940316626,1999_2020.csv
Arkansas,2002,65-74 years,1408,198262,710.2,365,1.9456750393798823,1999_2020.csv
Arkansas,2003,65-74 years,1326,200441,661.5,365,1.8124419217269756,1999_2020.csv
Arkansas,2004,65-74 years,1294,202755,638.2,366,1.743739550532939,1999_2020.csv
Arkansas,2005,65-74 years,1271,206253,616.2,365,1.6883108516346028,1999_2020.csv
Arkansas,2006,65-74 years,1212,212125,571.4,365,1.565373221075064,1999_2020.csv
Arkansas,2007,65-74 years,1170,217281,538.5,365,1.4752690994862847,1999_2020.csv
Arkansas,2008,65-74 years,1251,224652,556.9,366,1.5214789037645986,1999_2020.csv
Arkansas,2009,65-74 years,1266,230814,548.5,365,1.502722170529054,1999_2020.csv
Arkansas,2010,65-74 years,1242,234602,529.4,365,1.45043082583584,1999_2020.csv
Arkansas,2011,65-74 years,1266,240264,526.9,365,1.4436175002018328,1999_2020.csv
Arkansas,2012,65-74 years,1333,252770,527.4,366,1.440865807940911,1999_2020.csv
Arkansas,2013,65-74 years,1392,261551,532.2,365,1.4581089845334125,1999_2020.csv
Arkansas,2014,65-74 years,1462,270213,541.1,365,1.4823415054252735,1999_2020.csv
Arkansas,2015,65-74 years,1595,277411,575.0,365,1.5752306194414174,1999_2020.csv
Arkansas,2016,65-74 years,1732,283580,610.8,366,1.668749713364296,1999_2020.csv
Arkansas,2017,65-74 years,1771,290509,609.6,365,1.6701908699973316,1999_2020.csv
Arkansas,2018,65-74 years,1663,296011,561.8,365,1.5391875246398423,1999_2020.csv
Arkansas,2019,65-74 years,1851,302829,611.2,365,1.6746192989153381,1999_2020.csv
Arkansas,2020,65-74 years,1788,310489,575.9,366,1.5734038570253195,1999_2020.csv
Arkansas,2021,65-74 years,1855,315422,588.1,365,1.6112356718370684,2021_2025.csv
Arkansas,2022,65-74 years,1873,314714,595.1,365,1.630530211339524,2021_2025.csv
Arkansas,2023,65-74 years,1798,320139,561.6,365,1.5387151822365515,2021_2025.csv
Arkansas,2024,65-74 years,1804,324479,556.0,366,1.5190387509311478,2021_2025.csv
Arkansas,2025,65-74 years,1961,324479,604.4,365,1.6557628505160664,2021_2025.csv
California,1999,65-74 years,11996,1888004,635.4,365,1.740767150104424,1999_2020.csv
California,2000,65-74 years,11103,1887823,588.1,366,1.6069337842462188,1999_2020.csv
